timeMillis,timeNanos,x,y,z
1545116437171,46839734464561,-1.0498383,5.033627,7.710402
1545116437185,46839754481749,-1.6114031,4.687933,7.736451
1545116437205,46839774464561,-1.7671219,4.8176894,8.601983
1545116437225,46839794464561,-1.8210298,4.8909426,7.699312
1545116437245,46839814464561,-1.877102,4.8629203,9.521396
1545116437265,46839834464561,-1.9004599,4.9351583,9.371183
1545116437285,46839854464561,-1.8221694,4.9788957,8.723255
1545116437305,46839874464561,-1.7700237,5.0368166,10.361616
1545116437325,46839894464561,-1.8335179,4.938922,9.497204
1545116437344,46839914464561,-2.1557393,4.8634953,8.65297
1545116437364,46839934464561,-1.992991,5.0654416,8.323902
1545116437384,46839954464561,-1.6893966,5.226935,7.680101
1545116437406,46839974464561,-1.6325104,5.3568063,7.437664
1545116437425,46839994464561,-1.5849903,5.3516536,8.015778
1545116437446,46840014464561,-1.7388608,5.045368,8.955971
1545116437467,46840034464561,-1.8742002,4.928799,9.574843
1545116437487,46840054464561,-2.0061495,5.1533375,9.553545
1545116437505,46840074464561,-1.9853486,4.9744425,9.10355
1545116437525,46840094464561,-1.9612439,4.734697,8.874128
1545116437546,46840114464561,-1.6702334,4.799273,8.762252
1545116437566,46840134464561,-1.5250586,4.6529107,8.694075
1545116437586,46840154464561,-1.6607428,4.5482454,9.198542
1545116437605,46840174464561,-1.5921345,4.618693,9.397012
1545116437626,46840194464561,-1.4598405,4.7104096,9.134024
1545116437646,46840214464561,-1.2903694,4.969223,8.748738
1545116437666,46840234464561,-1.1167706,5.2601376,8.713189
1545116437686,46840254464561,-1.0077482,5.127068,8.727967
1545116437706,46840274464561,-1.014768,4.9595985,10.056835
1545116437727,46840294464561,-0.9789029,4.9285793,9.469709
1545116437746,46840314464561,-0.5263413,5.083398,8.735226
1545116437765,46840334464561,-0.2902347,5.069368,10.761966
1545116437786,46840354464561,-0.21667525,4.1700096,9.684566
1545116437805,46840374464561,-0.5061534,3.378956,8.267074
1545116437825,46840394464561,-0.57802737,3.4096496,11.077396
1545116437846,46840414464561,-0.23950636,2.459841,11.360947
1545116437866,46840434464561,0.19091365,2.1421306,11.338575
1545116437887,46840454464561,0.36758658,2.4884088,10.01393
1545116437907,46840474464561,0.5591706,2.733709,8.494571
1545116437926,46840494464561,0.03359544,1.9621248,7.9796443
1545116437946,46840514464561,0.6908613,2.259092,8.285728
1545116437967,46840534464561,1.5558577,1.9103143,7.957139
1545116437986,46840554464561,2.0946105,2.271839,8.419152
1545116438006,46840574464561,2.5969906,2.2203348,8.866035
1545116438025,46840594464561,2.339518,2.2053661,7.494158
1545116438045,46840614481749,1.2454255,1.4290415,6.8482213
1545116438065,46840634464561,0.43960416,0.74512345,8.21804
1545116438086,46840654464561,0.6354499,-0.098803915,10.197413
1545116438106,46840674464561,0.7304326,1.2431175,11.20609
1545116438125,46840694464561,0.78820956,1.761146,11.293622
1545116438145,46840714464561,0.61461073,1.256477,10.315265
1545116438167,46840734464561,0.11858003,1.2200373,9.957647
1545116438185,46840754464561,-0.48411715,1.2661017,9.246541
1545116438206,46840774464561,-0.27857974,1.4654046,8.286351
1545116438225,46840794464561,-0.001043872,1.7539634,7.890628
1545116438245,46840814464561,0.102625065,1.914394,7.938838
1545116438265,46840834464561,0.08118259,1.9120382,8.185373
1545116438286,46840854464561,0.0647009,1.5643618,9.64371
1545116438307,46840874464561,0.17628029,1.2660538,11.734586
1545116438325,46840894464561,0.23374112,1.7223696,11.943235
1545116438345,46840914464561,0.47859135,2.2704406,10.770489
1545116438366,46840934464561,-0.09850703,3.0617435,9.026294
1545116438386,46840954466124,0.04573883,3.47188,7.3905754
1545116438405,46840974464561,0.035913024,3.5815053,7.6656213
1545116438425,46840994464561,0.3146747,3.1595035,10.689383
1545116438445,46841014464561,0.2119922,2.4343286,12.764906
1545116438465,46841034464561,-0.43539038,2.707957,11.308783
1545116438485,46841054464561,-0.45042595,2.9473484,9.310495
1545116438505,46841074464561,-0.6643048,3.0478284,7.9599357
1545116438525,46841094464561,-0.390207,2.8981907,7.4718056
1545116438546,46841114464561,0.8857014,2.417933,10.259633
1545116438565,46841134464561,1.8094994,1.1886923,13.729052
1545116438585,46841154464561,1.3392878,-0.17208564,15.49421
1545116438605,46841174464561,0.64268994,-0.22084117,13.963721
1545116438625,46841194464561,0.80540943,-0.03552038,11.759074
1545116438646,46841214464561,1.1083238,0.12545617,10.353342
1545116438665,46841234464561,0.76709265,0.1322557,9.073622
1545116438685,46841254464561,-0.22595519,-0.9390251,9.777757
1545116438707,46841274464561,-0.6844831,-1.9402131,10.794393
1545116438725,46841294464561,-1.1052306,-1.0979043,9.996961
1545116438746,46841314464561,0.14053006,-0.8149575,7.582743
1545116438766,46841334464561,1.5341756,-0.13938084,7.5109935
1545116438786,46841354464561,3.4892712,0.39966887,8.192144
1545116438806,46841374464561,3.1857152,0.27789977,8.144471
1545116438826,46841394464561,1.2337704,0.19589359,7.7546277
1545116438846,46841414466124,-0.10498096,0.61911184,8.355151
1545116438865,46841434466124,0.6868677,0.3534512,7.838942
1545116438885,46841454464561,0.36612135,-0.08863334,9.420177
1545116438948,46841474464561,0.5751351,-0.4378516,10.509166
1545116438948,46841494466124,0.50100106,-0.4827285,10.307355
1545116438948,46841514466124,0.12754391,-0.17085981,9.154268
1545116438965,46841534464561,-0.58226025,0.16302599,7.601571
1545116438986,46841554464561,-0.8640195,1.4262165,2.0834248
1545116439006,46841574464561,-2.0612736,2.3193686,6.786164
1545116439025,46841594464561,-0.68243366,1.6210566,11.033324
1545116439045,46841614464561,0.9437847,2.030829,9.199183
1545116439066,46841634464561,0.6254421,3.157205,10.300651
1545116439086,46841654464561,1.0606027,3.3541903,9.989452
1545116439106,46841674464561,1.6141804,4.004542,9.894968
1545116439125,46841694464561,1.8136845,3.8811255,10.214
1545116439145,46841714464561,1.7031776,3.2645898,10.801163
1545116439165,46841734464561,1.4987128,4.2537494,11.899756
1545116439185,46841754464561,1.4756423,4.5462728,12.575975
1545116439205,46841774464561,1.847548,4.5833545,12.5597515
1545116439225,46841794464561,4.081434,4.117146,11.53152
1545116439245,46841814464561,3.9025488,2.8027196,13.29438
1545116439265,46841834464561,2.517072,-0.05137957,16.191652
1545116439285,46841854464561,1.8074882,-1.9872832,17.016827
1545116439306,46841874464561,1.7350492,-1.3961643,14.538149
1545116439326,46841894464561,2.1575494,0.0037062243,11.30294
1545116439345,46841914464561,2.690891,0.9907398,8.9466915
1545116439369,46841934464561,2.4685752,1.2932041,6.8870173
1545116439385,46841954464561,1.9258288,1.8090972,5.0153832
1545116439405,46841974464561,1.5752698,2.0890749,4.835703
1545116439425,46841994464561,2.3617363,1.8288062,5.7080836
1545116439445,46842014464561,2.7918978,1.753044,7.3045564
1545116439465,46842034464561,2.332144,0.85576427,7.830409
1545116439485,46842054464561,1.7052462,0.39407602,7.666732
1545116439505,46842074464561,0.9812588,-0.11535264,7.0491424
1545116439525,46842094464561,0.5612584,0.06146395,6.750595
1545116439545,46842114464561,1.5347983,0.94125646,6.740664
1545116439565,46842134464561,1.9140685,1.5060295,8.628751
1545116439585,46842154464561,0.914585,1.0639353,8.06936
1545116439605,46842174464561,-0.88133436,0.47655147,6.7496376
1545116439625,46842194464561,0.13141295,2.7357585,6.50586
