timeMillis,timeNanos,x,y,z
1545116437185,46839760361749,-41.875,1.25,-15.125
1545116437205,46839780344561,-41.5625,1.0625,-15.25
1545116437225,46839800344561,-41.75,1.5,-15.4375
1545116437244,46839820344561,-41.5625,1.625,-15.5
1545116437265,46839840344561,-41.375,1.9375,-15.4375
1545116437285,46839860344561,-41.375,2.1875,-15.375
1545116437305,46839880344561,-41.4375,2.0625,-15.5
1545116437325,46839900344561,-41.375,1.9375,-15.3125
1545116437344,46839920344561,-41.375,2.0,-15.5
1545116437364,46839940344561,-41.375,2.0,-15.4375
1545116437384,46839960344561,-41.5625,2.1875,-15.4375
1545116437405,46839980344561,-41.5,2.1875,-15.1875
1545116437425,46840000344561,-41.6875,2.4375,-14.9375
1545116437446,46840020344561,-42.1875,2.4375,-14.5625
1545116437466,46840040344561,-42.3125,2.4375,-14.3125
1545116437486,46840060344561,-42.625,2.6875,-14.0
1545116437505,46840080344561,-43.0,3.0,-14.125
1545116437525,46840100344561,-43.0625,3.25,-14.125
1545116437545,46840120344561,-43.1875,3.75,-14.25
1545116437565,46840140344561,-43.375,4.125,-14.125
1545116437585,46840160344561,-43.6875,4.4375,-14.1875
1545116437605,46840180344561,-43.8125,4.625,-14.3125
1545116437625,46840200344561,-43.875,4.8125,-14.625
1545116437645,46840220344561,-44.0,5.1875,-15.0
1545116437665,46840240344561,-43.9375,5.5625,-15.5625
1545116437685,46840260344561,-43.9375,5.5,-15.8125
1545116437706,46840280344561,-44.1875,5.8125,-16.0625
1545116437726,46840300344561,-44.3125,6.0625,-16.5
1545116437745,46840320344561,-44.4375,6.125,-16.9375
1545116437765,46840340344561,-44.375,6.1875,-17.5625
1545116437785,46840360344561,-44.5625,6.0625,-18.0625
1545116437805,46840380344561,-44.5,5.9375,-18.25
1545116437825,46840400344561,-44.6875,5.9375,-18.5
1545116437846,46840420344561,-44.75,5.875,-18.9375
1545116437865,46840440344561,-44.8125,6.125,-19.625
1545116437886,46840460344561,-44.5625,6.0625,-20.5
1545116437906,46840480344561,-44.3125,5.9375,-21.8125
1545116437925,46840500344561,-43.875,6.0625,-23.25
1545116437945,46840520344561,-43.5625,6.0625,-24.125
1545116437966,46840540344561,-43.75,5.9375,-24.5
1545116437985,46840560344561,-43.9375,5.6875,-24.75
1545116438005,46840580344561,-44.0625,5.5,-25.25
1545116438025,46840600344561,-44.0625,5.4375,-25.375
1545116438045,46840620361749,-44.25,5.625,-25.3125
1545116438065,46840640344561,-44.4375,6.0,-25.3125
1545116438085,46840660344561,-44.5,6.5,-25.125
1545116438106,46840680344561,-44.5,7.1875,-25.375
1545116438125,46840700344561,-44.5,7.625,-25.75
1545116438145,46840720344561,-44.25,7.75,-26.4375
1545116438167,46840740344561,-44.3125,7.3125,-27.0
1545116438185,46840760344561,-44.25,6.5,-27.3125
1545116438206,46840780344561,-44.375,5.875,-27.6875
1545116438225,46840800344561,-44.5,5.5,-28.0
1545116438245,46840820344561,-44.5625,5.5625,-28.0625
1545116438265,46840840344561,-44.75,6.0,-28.0
1545116438285,46840860344561,-45.0,6.1875,-27.3125
1545116438306,46840880344561,-45.3125,6.5,-27.125
1545116438325,46840900344561,-45.25,6.5625,-27.5
1545116438345,46840920344561,-44.9375,6.5625,-28.25
1545116438366,46840940344561,-44.5,6.5,-29.3125
1545116438386,46840960346124,-44.1875,6.4375,-29.6875
1545116438405,46840980344561,-44.1875,6.3125,-30.0625
1545116438424,46841000344561,-44.5,6.125,-30.0625
1545116438445,46841020344561,-44.4375,6.0625,-30.625
1545116438465,46841040344561,-44.1875,5.9375,-31.8125
1545116438485,46841060344561,-43.6875,5.875,-32.8125
1545116438505,46841080344561,-43.25,6.0,-33.5
1545116438525,46841100344561,-43.0,6.375,-33.75
1545116438545,46841120344561,-43.5,7.1875,-33.1875
1545116438565,46841140344561,-44.0625,8.125,-32.625
1545116438585,46841160344561,-44.5,8.75,-31.9375
1545116438605,46841180344561,-44.625,9.125,-31.8125
1545116438625,46841200344561,-44.75,9.1875,-31.75
1545116438645,46841220344561,-44.5625,9.125,-31.6875
1545116438665,46841240344561,-44.5625,8.625,-31.4375
1545116438685,46841260344561,-44.8125,8.0,-31.125
1545116438706,46841280344561,-45.125,7.75,-30.6875
1545116438725,46841300344561,-44.8125,8.0,-30.9375
1545116438745,46841320344561,-44.4375,8.5,-31.1875
1545116438765,46841340344561,-44.25,9.125,-30.9375
1545116438785,46841360344561,-43.8125,10.0,-31.0
1545116438806,46841380344561,-42.8125,10.4375,-31.5625
1545116438825,46841400344561,-42.1875,10.625,-32.375
1545116438845,46841420346124,-41.875,10.375,-32.9375
1545116438865,46841440346124,-42.0625,9.5625,-32.8125
1545116438885,46841460344561,-42.375,8.1875,-32.375
1545116438948,46841480344561,-42.6875,6.5,-32.3125
1545116438948,46841500346124,-42.4375,4.9375,-33.125
1545116438948,46841520346124,-41.75,3.375,-34.0625
1545116438965,46841540344561,-41.25,1.4375,-34.9375
1545116438986,46841560344561,-40.875,-0.4375,-35.125
