timeMillis,timeNanos,value
1545116485026,46887600344561,1011.9668
1545116485105,46887680344561,1011.9507
1545116485185,46887760344561,1011.97705
1545116485266,46887840344561,1011.9678
1545116485346,46887920344561,1011.9536
1545116485427,46888000344561,1011.9619
1545116485507,46888080344561,1011.9468
1545116485588,46888160344561,1011.93066
1545116485666,46888240344561,1011.92334
1545116485746,46888320344561,1011.938
1545116485826,46888400344561,1011.9536
1545116485906,46888480344561,1011.9702
1545116485987,46888560344561,1011.9868
1545116486067,46888640344561,1011.95703
1545116486151,46888720346124,1011.92676
1545116486225,46888800344561,1011.9116
1545116486305,46888880344561,1011.9238
1545116486386,46888960344561,1011.9541
1545116486466,46889040344561,1011.9839
1545116486547,46889120344561,1012.01416
1545116486627,46889200344561,1012.01416
1545116486709,46889280344561,1012.0078
1545116486786,46889360344561,1011.97754
1545116486867,46889440344561,1011.94775
1545116486947,46889520344561,1011.94775
1545116487026,46889600344561,1011.9629
1545116487106,46889680344561,1011.9927
1545116487185,46889760344561,1012.0078
1545116487267,46889840344561,1012.01953
1545116487345,46889920344561,1011.98975
1545116487426,46890000346124,1011.9595
1545116487506,46890080344561,1011.9297
1545116487585,46890160346124,1011.9297
1545116487667,46890240344561,1011.9297
1545116487746,46890320344561,1011.93555
1545116487827,46890400344561,1011.96533
1545116487907,46890480346124,1011.9712
1545116487986,46890560346124,1011.9409
1545116488066,46890640344561,1011.9258
1545116488149,46890720344561,1011.93164
1545116488227,46890800344561,1011.95215
1545116488307,46890880344561,1011.9824
1545116488386,46890960344561,1012.0122
1545116488466,46891040344561,1012.02734
1545116488561,46891120346124,1011.99756
1545116488625,46891200344561,1011.9673
1545116488706,46891280344561,1011.9375
1545116488787,46891360344561,1011.92236
1545116488866,46891440344561,1011.92236
1545116488945,46891520344561,1011.95215
1545116489027,46891600344561,1011.9824
1545116489109,46891680344561,1012.01025
1545116489187,46891760344561,1011.98
1545116489266,46891840344561,1011.9502
1545116489346,46891920344561,1011.9502
1545116489426,46892000344561,1011.9502
1545116489505,46892080344561,1011.97656
1545116489586,46892160344561,1012.00684
1545116489666,46892240344561,1012.00684
1545116489746,46892320344561,1011.97656
1545116489826,46892400346124,1011.9468
1545116489906,46892480344561,1011.9468
1545116489986,46892560344561,1011.9619
1545116490066,46892640344561,1011.9917
1545116490146,46892720346124,1012.022
1545116490226,46892800344561,1012.0366
1545116490306,46892880344561,1012.01025
1545116490432,46892960346124,1011.98047
1545116490468,46893040344561,1011.96533
1545116490546,46893120344561,1011.9624
1545116490627,46893200344561,1011.9927
1545116490706,46893280344561,1012.02246
1545116490786,46893360344561,1012.00244
1545116490866,46893440344561,1011.97266
1545116490947,46893520344561,1011.9424
1545116491027,46893600344561,1011.9126
1545116491106,46893680346124,1011.9126
1545116491185,46893760344561,1011.9424
1545116491265,46893840344561,1011.97266
1545116491346,46893920344561,1011.9868
1545116491427,46894000344561,1011.95703
1545116491507,46894080344561,1011.92676
1545116491587,46894160344561,1011.9116
1545116491667,46894240344561,1011.9209
1545116491746,46894320344561,1011.9512
1545116491826,46894400344561,1011.98096
1545116491907,46894480344561,1011.9663
1545116491986,46894560344561,1011.93604
1545116492067,46894640344561,1011.90625
1545116492147,46894720346124,1011.90625
1545116492313,46894800344561,1011.93604
1545116492313,46894880346124,1011.9663
1545116492386,46894960344561,1011.9961
1545116492468,46895040344561,1011.98096
1545116492546,46895120344561,1011.9512
1545116492626,46895200344561,1011.9209
1545116492706,46895280344561,1011.90625
1545116492786,46895360344561,1011.9209
1545116492866,46895440344561,1011.9512
1545116492947,46895520344561,1011.98096
1545116493026,46895600344561,1011.97314
1545116493106,46895680344561,1011.9429
1545116493186,46895760344561,1011.9131
1545116493266,46895840344561,1011.9131
1545116493347,46895920361749,1011.92773
1545116493427,46896000344561,1011.958
1545116493506,46896080344561,1011.9878
1545116493585,46896160344561,1011.97314
1545116493667,46896240344561,1011.9429
1545116493746,46896320344561,1011.9131
1545116493827,46896400344561,1011.92773
1545116493905,46896480344561,1011.958
1545116493986,46896560344561,1011.9878
1545116494066,46896640344561,1011.9878
1545116494224,46896720346124,1011.958
1545116494228,46896800346124,1011.92773
1545116494305,46896880344561,1011.89795
1545116494386,46896960344561,1011.91406
1545116494466,46897040344561,1011.94385
1545116494546,46897120344561,1011.9741
1545116494630,46897200344561,1011.959
1545116494706,46897280344561,1011.9292
1545116494786,46897360344561,1011.8989
1545116494866,46897440344561,1011.8838
1545116494946,46897520344561,1011.91406
1545116495026,46897600344561,1011.94385
1545116495106,46897680344561,1011.959
