bssid,frequency,legit,rss,ssid,timestamp,wifiNo
96:53:30:7c:92:23,2437,true,-79,DIRECT-23-HP M402 LaserJet,46889240208,1
2a:56:5a:61:f9:0b,2437,true,-78,DIRECT-0b-HP M477 LaserJet,46889240203,1
00:24:6c:7d:f7:21,2412,true,-47,eduroam,46889240165,1
00:24:6c:7d:f6:a0,2452,true,-70,Welcome_KAIST,46885317242,1
00:24:6c:7d:f3:01,2432,true,-49,eduroam,46885317237,1
00:24:6c:7d:f3:00,2432,true,-61,Welcome_KAIST,46885317212,1
6c:70:9f:e3:3a:a6,2412,true,-59,Air WiFi,46885317174,1
90:9f:33:f9:11:de,5785,true,-78,wit_5G,46891027776,2
6c:70:9f:e3:3a:a7,5785,true,-62,Air WiFi,46891027772,2
00:24:6c:7d:fe:11,5785,true,-68,eduroam,46891027767,2
00:24:6c:7d:fe:10,5785,true,-67,Welcome_KAIST,46891027764,2
00:24:6c:7a:8b:31,5765,true,-77,eduroam,46891027761,2
00:24:6c:7d:f3:f1,5765,true,-67,eduroam,46891027758,2
00:24:6c:7d:f3:f0,5765,true,-66,Welcome_KAIST,46891027754,2
00:24:6c:7d:f5:11,5765,true,-82,eduroam,46891027751,2
00:24:6c:7d:f5:10,5765,true,-80,Welcome_KAIST,46891027747,2
00:24:6c:7d:fe:01,2472,true,-61,eduroam,46891027742,2
00:24:6c:7d:fe:00,2472,true,-58,Welcome_KAIST,46891027738,2
00:24:6c:7d:f7:01,2472,true,-88,eduroam,46891027735,2
00:24:6c:7d:fd:a0,2472,true,-75,Welcome_KAIST,46891027726,2
00:24:6c:7d:f5:01,2472,true,-74,eduroam,46891027723,2
00:24:6c:7d:f5:00,2472,true,-74,Welcome_KAIST,46891027719,2
00:24:6c:7d:f8:60,2472,true,-94,Welcome_KAIST,46891027715,2
00:24:6c:7d:f2:a1,2472,true,-77,eduroam,46891027712,2
00:24:6c:7d:f2:a0,2472,true,-77,Welcome_KAIST,46891027709,2
00:24:6c:7d:fd:a1,2472,true,-94,eduroam,46891027706,2
00:24:6c:7d:f7:00,2472,true,-83,Welcome_KAIST,46891027703,2
00:24:6c:7d:f3:e1,2472,true,-67,eduroam,46891027700,2
00:24:6c:7d:f3:e0,2472,true,-71,Welcome_KAIST,46891027694,2
90:9f:33:b1:a1:76,2447,true,-91,Jmiptime,46891027690,2
96:53:30:7c:92:23,2437,true,-77,DIRECT-23-HP M402 LaserJet,46891027686,2
00:24:6c:7d:f6:b1,5240,true,-72,eduroam,46891027683,2
00:24:6c:7d:f6:b0,5240,true,-70,Welcome_KAIST,46891027680,2
00:24:6c:7d:f3:11,5240,true,-48,eduroam,46891027676,2
00:24:6c:7d:f3:10,5240,true,-42,Welcome_KAIST,46891027673,2
6c:f3:7f:fa:ab:31,5200,true,-75,eduroam,46891027670,2
6c:f3:7f:fa:ab:30,5200,true,-80,Welcome_KAIST,46891027667,2
00:24:6c:7d:f7:31,5200,true,-54,eduroam,46891027663,2
00:24:6c:7d:f7:30,5200,true,-54,Welcome_KAIST,46891027660,2
00:24:6c:7d:f7:f1,5200,true,-59,eduroam,46891027655,2
00:24:6c:7d:f7:f0,5200,true,-60,Welcome_KAIST,46891027651,2
1a:4f:32:93:be:f1,2412,true,-79,DIRECT-f1-HP M402 LaserJet,46891027646,2
00:24:6c:7d:fd:b1,5180,true,-80,eduroam,46891027643,2
00:24:6c:7d:fd:b0,5180,true,-80,Welcome_KAIST,46891027640,2
00:24:6c:7d:f6:f1,5805,true,-87,eduroam,46891027636,2
