timeMillis,timeNanos,x,y,z
1554797907338,1398457077637549,0.03351985,1.8723229,9.055147
1554797907356,1398457097507549,0.03351985,1.8723229,9.055147
1554797907372,1398457117432049,0.03351985,1.8723229,9.055147
1554797907393,1398457137388715,0.40223816,2.116539,9.1628895
1554797907416,1398457157356215,0.40463245,2.185973,9.517242
1554797907434,1398457177330215,0.29928434,2.19555,9.624985
1554797907454,1398457197308548,0.22985038,2.264984,9.505271
1554797907475,1398457217289976,0.38068968,2.6648278,8.162083
1554797907493,1398457237273726,0.5554718,2.5475085,9.407105
1554797907513,1398457257259281,0.97446984,2.9521408,9.953
1554797907535,1398457277246281,1.1731946,3.502824,9.016839
1554797907553,1398457297234462,1.0127783,3.3352249,10.077502
1554797907574,1398457317223628,1.3120626,3.328042,10.532414
1554797907595,1398457337213628,1.0558752,3.634509,11.004087
1554797907613,1398457357204342,0.46209505,2.5092,9.565128
1554797907634,1398457377196275,-0.5865973,1.324034,8.128563
1554797907656,1398457397188150,-0.2753416,1.8148603,9.177256
1554797907674,1398457417180502,1.9537282,3.1125572,10.111023
1554797907694,1398457437173279,1.4389591,3.5363438,10.134965
1554797907716,1398457457166436,0.22745611,2.403852,8.638543
1554797907735,1398457477159936,-0.09577099,2.343995,8.499676
1554797907754,1398457497153745,0.7015225,3.4118416,9.177256
1554797907777,1398457517148290,1.1444633,3.7590115,8.966559
1554797907796,1398457537142637,0.50998056,3.562681,9.004868
1554797907816,1398457557137220,0.32562137,3.6273263,9.069513
1554797907837,1398457577132020,0.33759275,3.5985951,8.786988
1554797907859,1398457597127020,0.32083282,3.703943,8.540379
1554797907877,1398457617122205,0.30167863,3.6488748,8.581081
1554797907899,1398457637117562,0.50998056,3.703943,8.691217
1554797907915,1398457657113079,0.72546524,3.8667538,8.739103
1554797907934,1398457677108745,0.7541966,3.8859081,9.000079
1554797907954,1398457697108211,0.7829279,3.921822,9.153313
1554797907974,1398457717109044,0.749408,3.8883023,9.026416
1554797907994,1398457737109110,0.7110996,3.8787253,8.772623
1554797908016,1398457757109110,0.71588814,3.9002736,8.92825
1554797908035,1398457777109076,0.71828246,3.962525,8.992896
1554797908055,1398457797109042,0.679974,3.9697077,9.213169
1554797908076,1398457817108975,0.65842557,4.008016,8.241094
1554797908095,1398457837108841,0.7829279,3.9768906,9.170073
1554797908114,1398457857108641,0.79250497,4.051113,9.196409
1554797908138,1398457877108307,0.7134939,4.0822387,9.019233
1554797908156,1398457897107907,0.76616794,4.1253357,8.851634
1554797908177,1398457917107440,0.67279124,4.288146,8.6984005
1554797908198,1398457937106906,0.6656084,4.022382,8.992896
1554797908216,1398457957106239,0.51716334,3.7254915,9.366403
1554797908243,1398457977105205,0.31843856,3.4549387,9.950606
1554797908255,1398457997103705,0.38308397,3.3615618,10.568329
1554797908280,1398458017136105,-0.20111908,3.6464806,10.1206
1554797908295,1398458037168438,-0.52674043,4.2115293,8.961771
1554797908317,1398458057200704,-0.5913859,4.434197,8.293768
1554797908335,1398458077232637,-0.4644893,3.9697077,8.940222
1554797908357,1398458097264703,-0.17717634,2.8396099,10.290593
1554797908379,1398458117296369,-0.019154198,2.1141446,11.992923
1554797908402,1398458137328302,0.071828246,1.6975409,12.356853
1554797908414,1398458157359402,0.0,1.9154198,11.351257
1554797908440,1398458177391368,0.045491222,2.6863763,9.617802
1554797908457,1398458197423068,-0.12210801,2.82285,9.474146
1554797908476,1398458217454701,-0.2466103,2.6815877,9.514848
1554797908567,1398458237486201,-0.4932206,3.1125572,8.583475
1554797908567,1398458257517634,-0.43575802,3.6033835,7.867587
1554797908567,1398458277549000,-0.3304099,3.6177492,7.9777236
1554797908567,1398458297581333,-0.0670397,3.3328304,8.710372
1554797908573,1398458317611666,0.043096945,2.925804,9.665688
1554797908593,1398458337641999,0.038308397,2.3990633,10.108628
1554797908618,1398458357673032,0.08619389,2.281744,9.771035
1554797908669,1398458377736865,0.0,2.5594797,8.854029
1554797908669,1398458397800365,-0.07422252,2.9114382,8.27222
1554797908675,1398458417863831,-0.5506832,2.9305923,7.8699813
1554797908696,1398458437927231,-0.8379962,3.0263634,7.448589
1554797908715,1398458457991331,-0.52913475,3.4525442,7.125362
1554797908738,1398458478055497,-0.12689656,3.7781656,7.3312693
1554797908756,1398458498119663,-0.16041641,3.842811,7.678439
1554797908777,1398458518183763,-0.07422252,4.0151987,7.7143536
1554797908798,1398458538247863,-0.0047885496,4.1157584,7.8340673
1554797908817,1398458558312029,0.03351985,4.041536,8.341654
