timeMillis,timeNanos,value
1554797907356,1398457089507549,1005.5803
1554797907454,1398457189507549,1005.5803
1554797907553,1398457289507549,1005.595
1554797907656,1398457389507549,1005.59985
1554797907755,1398457489507549,1005.59985
1554797907860,1398457589507549,1005.5901
1554797907955,1398457689504882,1005.5845
1554797908056,1398457789504739,1005.5803
1554797908157,1398457889503239,1005.5808
1554797908256,1398457989498239,1005.5742
1554797908358,1398458089594439,1005.5759
1554797908458,1398458189680893,1005.58325
1554797908567,1398458289760393,1005.5803
1554797908669,1398458389906854,1005.57764
1554797908756,1398458490043496,1005.57837
1554797908860,1398458590170162,1005.5757
1554797908971,1398458692318185,1005.5752
1554797909059,1398458792428420,1005.57764
1554797909161,1398458892532308,1005.5796
1554797909260,1398458992630202,1005.5803
1554797909359,1398459092772502,1005.56274
1554797909461,1398459192907454,1005.56177
1554797909670,1398459293035681,1005.5691
1554797909671,1398459393157811,1005.5654
1554797909778,1398459493316019,1005.5698
1554797909861,1398459593587339,1005.57935
1554797909963,1398459693847762,1005.57666
1554797910075,1398459794098058,1005.5774
1554797910166,1398459894374700,1005.5762
1554797910269,1398459994813872,1005.57227
1554797910374,1398460095371272,1005.57324
1554797910476,1398460196028272,1005.5737
1554797910596,1398460296751472,1005.5718
1554797910679,1398460397474305,1005.573
1554797910778,1398460498230005,1005.57007
1554797910880,1398460598985305,1005.57666
1554797910980,1398460699740738,1005.56836
1554797911079,1398460800495238,1005.56836
1554797911180,1398460901249704,1005.5703
1554797911284,1398461002071704,1005.57983
1554797911385,1398461102959837,1005.57983
1554797911490,1398461204014537,1005.58154
1554797911590,1398461305102003,1005.56616
1554797911688,1398461406157403,1005.56616
1554797911790,1398461507212136,1005.5508
1554797911900,1398461608300169,1005.5615
1554797911995,1398461709554802,1005.5615
1554797912099,1398461810842835,1005.57227
1554797912201,1398461912130635,1005.5659
1554797912297,1398462013418301,1005.5615
1554797912396,1398462114672834,1005.5615
1554797912498,1398462215927300,1005.56616
1554797912670,1398462317215133,1005.5659
1554797912698,1398462418536233,1005.5642
1554797912801,1398462519857366,1005.5708
1554797912899,1398462621078566,1005.5747
1554797913001,1398462722366366,1005.58057
1554797913107,1398462823754132,1005.5779
1554797913209,1398462925241932,1005.57837
1554797913316,1398463026729598,1005.5679
1554797913415,1398463128117531,1005.5681
1554797913564,1398463229405564,1005.5581
1554797913614,1398463330660330,1005.55493
1554797913720,1398463432081663,1005.55444
1554797913820,1398463533469763,1005.55566
1554797913918,1398463634857796,1005.56177
1554797914024,1398463736345829,1005.5469
1554797914127,1398463837967162,1005.5491
1554797914230,1398463939721795,1005.5442
1554797914341,1398464041576261,1005.5491
1554797914437,1398464143363894,1005.5491
1554797914573,1398464244984994,1005.55005
1554797914640,1398464346573027,1005.55225
1554797914738,1398464448161060,1005.55225
1554797914836,1398464549749060,1005.5471
1554797914939,1398464651303760,1005.5569
1554797915043,1398464752858460,1005.5569
1554797915150,1398464854513160,1005.54736
1554797915252,1398464956267760,1005.54663
1554797915354,1398465058155793,1005.54663
1554797915454,1398465160043626,1005.5576
1554797915557,1398465261931526,1005.5574
1554797915654,1398465363786159,1005.5603
1554797915755,1398465465607525,1005.55786
1554797915858,1398465567462125,1005.56323
1554797915960,1398465669483391,1005.5657
1554797916065,1398465771604691,1005.5635
1554797916173,1398465873759324,1005.563
1554797916275,1398465975947257,1005.5591
1554797916380,1398466078135223,1005.5647
1554797916484,1398466180422923,1005.5686
1554797916593,1398466282810523,1005.56934
1554797916688,1398466385165056,1005.5613
1554797916790,1398466487452989,1005.5613
1554797916893,1398466589874155,1005.5574
1554797916998,1398466692461988,1005.5593
1554797917107,1398466795116521,1005.55566
1554797917207,1398466897737721,1005.55566
1554797917313,1398467000392221,1005.5493
1554797917419,1398467103046721,1005.553
1554797917606,1398467205834587,1005.553
1554797917621,1398467308622320,1005.553
1554797917722,1398467411409920,1005.553
1554797917820,1398467514197586,1005.5569
1554797917921,1398467616985186,1005.5615
1554797918024,1398467719772819,1005.56226
1554797918122,1398467822393819,1005.5493
1554797918226,1398467924881485,1005.5469
1554797918324,1398468027269218,1005.5481
1554797918447,1398468129556484,1005.5464
1554797918581,1398468231844184,1005.5432
1554797918624,1398468334198517,1005.5376
1554797918724,1398468436619450,1005.5325
1554797918828,1398468539073950,1005.5425
1554797918929,1398468641461916,1005.5532
1554797919027,1398468743683149,1005.55493
1554797919127,1398468845737749,1005.5554
1554797919229,1398468947659115,1005.5437
1554797919327,1398469049413748,1005.5427
1554797919428,1398469151101748,1005.5488
1554797919607,1398469252822381,1005.5525
1554797919636,1398469354510347,1005.5425
1554797919738,1398469456298047,1005.5337
1554797919842,1398469557985713,1005.5398
1554797919938,1398469659540413,1005.5515
1554797920040,1398469760928513,1005.55273
1554797920142,1398469862149846,1005.5459
1554797920241,1398469963271246,1005.5386
1554797920341,1398470064259346,1005.5408
1554797920442,1398470165080779,1005.5486
