timeMillis,timeNanos,x,y,z
1542101201057,858466793005238,39.36,30.66,-16.32
1542101201079,858466813005238,39.48,30.42,-16.14
1542101201097,858466833005238,39.0,30.119999,-16.68
1542101201118,858466853005238,39.18,29.699999,-16.859999
1542101201139,858466873005238,39.48,29.76,-16.859999
1542101201157,858466893005238,39.66,29.64,-16.8
1542101201177,858466913005238,41.219997,30.119999,-15.66
1542101201200,858466933005238,42.18,30.119999,-14.46
1542101201219,858466953005238,42.719997,29.099998,-13.98
1542101201237,858466973005238,42.899998,28.08,-14.16
1542101201259,858466993005238,42.36,26.039999,-14.46
1542101201277,858467013005238,42.18,24.24,-15.36
1542101201298,858467033005238,41.46,22.439999,-15.54
1542101201320,858467053005238,41.46,20.88,-15.299999
1542101201337,858467073005238,40.739998,19.619999,-16.08
1542101201357,858467093005304,39.899998,18.66,-16.56
1542101201379,858467113005304,39.6,17.94,-17.46
1542101201397,858467133005304,38.7,17.039999,-17.94
1542101201418,858467153005304,37.98,16.08,-17.58
1542101201439,858467173005304,38.04,15.78,-17.76
1542101201457,858467193005304,37.92,15.48,-18.0
1542101201477,858467213005304,38.7,16.02,-17.4
1542101201498,858467233004985,39.059998,16.859999,-17.82
1542101201518,858467253005071,39.54,17.64,-17.46
1542101201537,858467273005112,39.6,18.9,-17.22
1542101201559,858467293005152,39.48,19.199999,-17.76
1542101201578,858467313005190,39.3,20.279999,-17.88
1542101201597,858467333005190,38.28,21.24,-18.66
1542101201619,858467353004940,37.8,22.5,-18.84
1542101201637,858467373004940,37.2,24.48,-19.56
1542101201658,858467393004940,37.38,25.439999,-19.32
1542101201679,858467413004973,37.98,26.76,-18.72
1542101201700,858467433004973,38.46,27.359999,-18.42
1542101201718,858467453005006,38.7,27.24,-17.52
1542101201740,858467473005006,39.059998,27.539999,-17.76
1542101201758,858467493005006,38.52,27.119999,-18.359999
1542101201779,858467513005039,37.62,26.34,-18.84
1542101201801,858467533005039,37.2,25.859999,-19.68
